Time_s,Avg_Speed_mps,Rep_Speed_mps
472,1.63610449505983,0
473,1.66169503836859,0
474,1.68728558167735,0
475,1.71287612498611,0
476,1.73846666829487,0
477,1.76405721160363,0
478,1.78964775491239,0
479,1.81523829822116,0
480,1.32494732715943,0
481,1.34384271377313,0
482,1.36273810038683,0
483,1.38163348700054,0
484,1.40052887361424,0
485,1.41942426022795,0
486,1.43831964684165,0
487,0.176954767124606,0
488,0.181196022268976,0
489,0.185437277413346,0
490,0.189678532557716,0
491,0.193919787702086,0
492,0.198161042846456,0
493,0.202402297990825,0
494,0.206643553135195,0
495,0.210884808279565,0
496,0.215126063423935,0
497,0.219367318568305,0
498,0.223608573712675,0
499,0.227849828857045,0
500,0.232091084001414,0
501,0.236332339145784,0
502,0.240573594290154,0
503,0.244814849434524,0
504,0.249056104578894,0
505,0.253297359723264,0
506,0.257538614867634,0
507,0.261779870012003,0
508,0.266021125156373,0
509,0.270262380300743,0
510,0.274503635445113,0
511,0.278744890589483,0
512,0.282986145733853,0
513,0.287227400878222,0
514,0.291468656022592,0
515,0.295709911166962,0
516,0.299951166311332,0
517,0.304192421455702,0
518,0.308433676600072,0
519,0.312674931744442,0
520,0.316916186888811,0
521,0.321157442033181,0
522,0.325398697177551,0
523,0.329639952321921,0
524,0.333881207466291,0
525,0.338122462610661,0
526,0.342363717755031,0
527,0.3466049728994,0
528,0.35084622804377,0
529,0.35508748318814,0
530,0.35932873833251,0
531,0.36356999347688,0
532,0.36781124862125,0
